date,season,regular_season,playoff,superbowl,Opponent,Packers Win,packers_score,opponent_score,location
1979-12-02,1979,1,0,,Washington Commanders,LOSS,21,38,AWAY
1979-12-09,1979,1,0,,Chicago Bears,LOSS,14,15,HOME
1979-12-15,1979,1,0,,Detroit Lions,WIN,18,13,AWAY
1980-09-07,1980,1,0,,Chicago Bears,WIN,12,6,HOME
1980-09-14,1980,1,0,,Detroit Lions,LOSS,7,29,HOME
1980-09-21,1980,1,0,,Los Angeles Rams,LOSS,21,51,AWAY
1980-09-28,1980,1,0,,Dallas Cowboys,LOSS,7,28,HOME
1980-10-05,1980,1,0,,Cincinnati Bengals,WIN,14,9,HOME
1980-10-12,1980,1,0,,Tampa Bay Buccaneers,TIE,14,14,AWAY
1980-10-19,1980,1,0,,Cleveland Browns,LOSS,21,26,AWAY
1980-10-26,1980,1,0,,Minnesota Vikings,WIN,16,3,HOME
1980-11-02,1980,1,0,,Pittsburgh Steelers,LOSS,20,22,AWAY
1980-11-09,1980,1,0,,San Francisco 49ers,WIN,23,16,HOME
1980-11-16,1980,1,0,,New York Giants,LOSS,21,27,AWAY
1980-11-23,1980,1,0,,Minnesota Vikings,WIN,25,13,AWAY
1980-11-30,1980,1,0,,Tampa Bay Buccaneers,LOSS,17,20,HOME
1980-12-07,1980,1,0,,Chicago Bears,LOSS,7,61,AWAY
1980-12-14,1980,1,0,,Tennessee Titans,LOSS,3,22,HOME
1980-12-21,1980,1,0,,Detroit Lions,LOSS,3,24,AWAY
1981-09-06,1981,1,0,,Chicago Bears,WIN,16,9,AWAY
1981-09-13,1981,1,0,,Atlanta Falcons,LOSS,17,31,HOME
1981-09-20,1981,1,0,,Los Angeles Rams,LOSS,23,35,AWAY
1981-09-27,1981,1,0,,Minnesota Vikings,LOSS,13,30,HOME
1981-10-04,1981,1,0,,New York Giants,WIN,27,14,AWAY
1981-10-11,1981,1,0,,Tampa Bay Buccaneers,LOSS,10,21,HOME
1981-10-18,1981,1,0,,San Francisco 49ers,LOSS,3,13,HOME
1981-10-25,1981,1,0,,Detroit Lions,LOSS,27,31,AWAY
1981-11-01,1981,1,0,,Seattle Seahawks,WIN,34,24,HOME
1981-11-08,1981,1,0,,New York Giants,WIN,26,24,HOME
1981-11-15,1981,1,0,,Chicago Bears,WIN,21,17,HOME
1981-11-22,1981,1,0,,Tampa Bay Buccaneers,LOSS,3,37,AWAY
1981-11-29,1981,1,0,,Minnesota Vikings,WIN,35,23,AWAY
1981-12-06,1981,1,0,,Detroit Lions,WIN,31,17,HOME
1981-12-13,1981,1,0,,New Orleans Saints,WIN,35,7,AWAY
1981-12-20,1981,1,0,,New York Jets,LOSS,3,28,AWAY
1982-09-12,1982,1,0,,Los Angeles Rams,WIN,35,23,HOME
1982-09-20,1982,1,0,,New York Giants,WIN,27,19,AWAY
1982-11-21,1982,1,0,,Minnesota Vikings,WIN,26,7,HOME
1982-11-28,1982,1,0,,New York Jets,LOSS,13,15,AWAY
1982-12-05,1982,1,0,,Buffalo Bills,WIN,33,21,HOME
1982-12-12,1982,1,0,,Detroit Lions,LOSS,10,30,HOME
1982-12-19,1982,1,0,,Indianapolis Colts,TIE,20,20,AWAY
1982-12-26,1982,1,0,,Atlanta Falcons,WIN,38,7,AWAY
1983-01-02,1982,1,0,,Detroit Lions,LOSS,24,27,AWAY
1983-01-08,1982,0,1,,Arizona Cardinals,WIN,41,16,HOME
1983-01-16,1982,0,1,,Dallas Cowboys,LOSS,26,37,AWAY
1983-09-04,1983,1,0,,Tennessee Titans,WIN,41,38,AWAY
1983-09-11,1983,1,0,,Pittsburgh Steelers,LOSS,21,25,HOME
1983-09-18,1983,1,0,,Los Angeles Rams,WIN,27,24,HOME
1983-09-26,1983,1,0,,New York Giants,LOSS,3,27,AWAY
1983-10-02,1983,1,0,,Tampa Bay Buccaneers,WIN,55,14,HOME
1983-10-09,1983,1,0,,Detroit Lions,LOSS,14,38,AWAY
1983-10-17,1983,1,0,,Washington Commanders,WIN,48,47,HOME
1983-10-23,1983,1,0,,Minnesota Vikings,LOSS,17,20,HOME
1983-10-30,1983,1,0,,Cincinnati Bengals,LOSS,14,34,AWAY
1983-11-06,1983,1,0,,Cleveland Browns,WIN,35,21,HOME
1983-11-13,1983,1,0,,Minnesota Vikings,WIN,29,21,AWAY
1983-11-20,1983,1,0,,Detroit Lions,LOSS,20,23,HOME
1983-11-27,1983,1,0,,Atlanta Falcons,LOSS,41,47,AWAY
1983-12-04,1983,1,0,,Chicago Bears,WIN,31,28,HOME
1983-12-12,1983,1,0,,Tampa Bay Buccaneers,WIN,12,9,AWAY
1983-12-18,1983,1,0,,Chicago Bears,LOSS,21,23,AWAY
1984-09-02,1984,1,0,,Arizona Cardinals,WIN,24,23,HOME
1984-09-09,1984,1,0,,Oakland Raiders,LOSS,7,28,AWAY
1984-09-16,1984,1,0,,Chicago Bears,LOSS,7,9,HOME
1984-09-23,1984,1,0,,Dallas Cowboys,LOSS,6,20,AWAY
1984-09-30,1984,1,0,,Tampa Bay Buccaneers,LOSS,27,30,AWAY
1984-10-07,1984,1,0,,Los Angeles Chargers,LOSS,28,34,HOME
1984-10-15,1984,1,0,,Denver Broncos,LOSS,14,17,AWAY
1984-10-21,1984,1,0,,Seattle Seahawks,LOSS,24,30,HOME
1984-10-28,1984,1,0,,Detroit Lions,WIN,41,9,HOME
1984-11-04,1984,1,0,,New Orleans Saints,WIN,23,13,AWAY
1984-11-11,1984,1,0,,Minnesota Vikings,WIN,45,17,HOME
1984-11-18,1984,1,0,,Los Angeles Rams,WIN,31,6,HOME
1984-11-22,1984,1,0,,Detroit Lions,LOSS,28,31,AWAY
1984-12-02,1984,1,0,,Tampa Bay Buccaneers,WIN,27,14,HOME
1984-12-09,1984,1,0,,Chicago Bears,WIN,20,14,AWAY
1984-12-16,1984,1,0,,Minnesota Vikings,WIN,38,14,AWAY
1985-09-08,1985,1,0,,New England Patriots,LOSS,20,26,AWAY
1985-09-15,1985,1,0,,New York Giants,WIN,23,20,HOME
1985-09-22,1985,1,0,,New York Jets,LOSS,3,24,HOME
1985-09-29,1985,1,0,,Arizona Cardinals,LOSS,28,43,AWAY
1985-10-06,1985,1,0,,Detroit Lions,WIN,43,10,HOME
1985-10-13,1985,1,0,,Minnesota Vikings,WIN,20,17,HOME
1985-10-21,1985,1,0,,Chicago Bears,LOSS,7,23,AWAY
1985-10-27,1985,1,0,,Indianapolis Colts,LOSS,10,37,AWAY
1985-11-03,1985,1,0,,Chicago Bears,LOSS,10,16,HOME
1985-11-10,1985,1,0,,Minnesota Vikings,WIN,27,17,AWAY
1985-11-17,1985,1,0,,New Orleans Saints,WIN,38,14,HOME
1985-11-24,1985,1,0,,Los Angeles Rams,LOSS,17,34,AWAY
1985-12-01,1985,1,0,,Tampa Bay Buccaneers,WIN,21,0,HOME
1985-12-08,1985,1,0,,Miami Dolphins,LOSS,24,34,HOME
1985-12-15,1985,1,0,,Detroit Lions,WIN,26,23,AWAY
1985-12-22,1985,1,0,,Tampa Bay Buccaneers,WIN,20,17,AWAY
1986-09-07,1986,1,0,,Tennessee Titans,LOSS,3,31,HOME
1986-09-14,1986,1,0,,New Orleans Saints,LOSS,10,24,AWAY
1986-09-22,1986,1,0,,Chicago Bears,LOSS,12,25,HOME
1986-09-28,1986,1,0,,Minnesota Vikings,LOSS,7,42,AWAY
1986-10-05,1986,1,0,,Cincinnati Bengals,LOSS,28,34,HOME
1986-10-12,1986,1,0,,Detroit Lions,LOSS,14,21,HOME
1986-10-19,1986,1,0,,Cleveland Browns,WIN,17,14,AWAY
1986-10-26,1986,1,0,,San Francisco 49ers,LOSS,17,31,HOME
1986-11-02,1986,1,0,,Pittsburgh Steelers,LOSS,3,27,AWAY
1986-11-09,1986,1,0,,Washington Commanders,LOSS,7,16,HOME
1986-11-16,1986,1,0,,Tampa Bay Buccaneers,WIN,31,7,HOME
1986-11-23,1986,1,0,,Chicago Bears,LOSS,10,12,AWAY
1986-11-27,1986,1,0,,Detroit Lions,WIN,44,40,AWAY
1986-12-07,1986,1,0,,Minnesota Vikings,LOSS,6,32,HOME
1986-12-14,1986,1,0,,Tampa Bay Buccaneers,WIN,21,7,AWAY
1986-12-20,1986,1,0,,New York Giants,LOSS,24,55,AWAY
1987-09-13,1987,1,0,,Oakland Raiders,LOSS,0,20,HOME
1987-09-20,1987,1,0,,Denver Broncos,TIE,17,17,HOME
1987-10-04,1987,1,0,,Minnesota Vikings,WIN,23,16,AWAY
1987-10-11,1987,1,0,,Detroit Lions,LOSS,16,19,HOME
1987-10-18,1987,1,0,,Philadelphia Eagles,WIN,16,10,HOME
1987-10-25,1987,1,0,,Detroit Lions,WIN,34,33,AWAY
1987-11-01,1987,1,0,,Tampa Bay Buccaneers,LOSS,17,23,HOME
1987-11-08,1987,1,0,,Chicago Bears,LOSS,24,26,HOME
1987-11-15,1987,1,0,,Seattle Seahawks,LOSS,13,24,AWAY
1987-11-22,1987,1,0,,Kansas City Chiefs,WIN,23,3,AWAY
1987-11-29,1987,1,0,,Chicago Bears,LOSS,10,23,AWAY
1987-12-06,1987,1,0,,San Francisco 49ers,LOSS,12,23,HOME
1987-12-13,1987,1,0,,Minnesota Vikings,WIN,16,10,HOME
1987-12-19,1987,1,0,,New York Giants,LOSS,10,20,AWAY
1987-12-27,1987,1,0,,New Orleans Saints,LOSS,24,33,AWAY
1988-09-04,1988,1,0,,Los Angeles Rams,LOSS,7,34,HOME
1988-09-11,1988,1,0,,Tampa Bay Buccaneers,LOSS,10,13,HOME
1988-09-18,1988,1,0,,Miami Dolphins,LOSS,17,24,AWAY
1988-09-25,1988,1,0,,Chicago Bears,LOSS,6,24,HOME
1988-10-02,1988,1,0,,Tampa Bay Buccaneers,LOSS,24,27,AWAY
1988-10-09,1988,1,0,,New England Patriots,WIN,45,3,HOME
1988-10-16,1988,1,0,,Minnesota Vikings,WIN,34,14,AWAY
1988-10-23,1988,1,0,,Washington Commanders,LOSS,17,20,HOME
1988-10-30,1988,1,0,,Buffalo Bills,LOSS,0,28,AWAY
1988-11-06,1988,1,0,,Atlanta Falcons,LOSS,0,20,AWAY
1988-11-13,1988,1,0,,Indianapolis Colts,LOSS,13,20,HOME
1988-11-20,1988,1,0,,Detroit Lions,LOSS,9,19,HOME
1988-11-27,1988,1,0,,Chicago Bears,LOSS,0,16,AWAY
1988-12-04,1988,1,0,,Detroit Lions,LOSS,14,30,AWAY
1988-12-11,1988,1,0,,Minnesota Vikings,WIN,18,6,HOME
1988-12-18,1988,1,0,,Arizona Cardinals,WIN,26,17,AWAY
1989-09-10,1989,1,0,,Tampa Bay Buccaneers,LOSS,21,23,HOME
1989-09-17,1989,1,0,,New Orleans Saints,WIN,35,34,HOME
1989-09-24,1989,1,0,,Los Angeles Rams,LOSS,38,41,AWAY
1989-10-01,1989,1,0,,Atlanta Falcons,WIN,23,21,HOME
1989-10-08,1989,1,0,,Dallas Cowboys,WIN,31,13,HOME
1989-10-15,1989,1,0,,Minnesota Vikings,LOSS,14,26,AWAY
1989-10-22,1989,1,0,,Miami Dolphins,LOSS,20,23,AWAY
1989-10-29,1989,1,0,,Detroit Lions,WIN,23,20,HOME
1989-11-05,1989,1,0,,Chicago Bears,WIN,14,13,HOME
1989-11-12,1989,1,0,,Detroit Lions,LOSS,22,31,AWAY
1989-11-19,1989,1,0,,San Francisco 49ers,WIN,21,17,AWAY
1989-11-26,1989,1,0,,Minnesota Vikings,WIN,20,19,HOME
1989-12-03,1989,1,0,,Tampa Bay Buccaneers,WIN,17,16,AWAY
1989-12-10,1989,1,0,,Kansas City Chiefs,LOSS,3,21,HOME
1989-12-17,1989,1,0,,Chicago Bears,WIN,40,28,AWAY
1989-12-24,1989,1,0,,Dallas Cowboys,WIN,20,10,AWAY
1990-09-09,1990,1,0,,Los Angeles Rams,WIN,36,24,HOME
1990-09-16,1990,1,0,,Chicago Bears,LOSS,13,31,HOME
1990-09-23,1990,1,0,,Kansas City Chiefs,LOSS,3,17,HOME
1990-09-30,1990,1,0,,Detroit Lions,WIN,24,21,AWAY
1990-10-07,1990,1,0,,Chicago Bears,LOSS,13,27,AWAY
1990-10-14,1990,1,0,,Tampa Bay Buccaneers,LOSS,14,26,AWAY
1990-10-28,1990,1,0,,Minnesota Vikings,WIN,24,10,HOME
1990-11-04,1990,1,0,,San Francisco 49ers,LOSS,20,24,HOME
1990-11-11,1990,1,0,,Oakland Raiders,WIN,29,16,AWAY
1990-11-18,1990,1,0,,Arizona Cardinals,WIN,24,21,AWAY
1990-11-25,1990,1,0,,Tampa Bay Buccaneers,WIN,20,10,HOME
1990-12-02,1990,1,0,,Minnesota Vikings,LOSS,7,23,AWAY
1990-12-09,1990,1,0,,Seattle Seahawks,LOSS,14,20,HOME
1990-12-16,1990,1,0,,Philadelphia Eagles,LOSS,0,31,AWAY
1990-12-22,1990,1,0,,Detroit Lions,LOSS,17,24,HOME
1990-12-30,1990,1,0,,Denver Broncos,LOSS,13,22,AWAY
1991-09-01,1991,1,0,,Philadelphia Eagles,LOSS,3,20,HOME
1991-09-08,1991,1,0,,Detroit Lions,LOSS,14,23,AWAY
1991-09-15,1991,1,0,,Tampa Bay Buccaneers,WIN,15,13,HOME
1991-09-22,1991,1,0,,Miami Dolphins,LOSS,13,16,AWAY
1991-09-29,1991,1,0,,Los Angeles Rams,LOSS,21,23,AWAY
1991-10-06,1991,1,0,,Dallas Cowboys,LOSS,17,20,HOME
1991-10-17,1991,1,0,,Chicago Bears,LOSS,0,10,HOME
1991-10-27,1991,1,0,,Tampa Bay Buccaneers,WIN,27,0,AWAY
1991-11-03,1991,1,0,,New York Jets,LOSS,16,19,AWAY
1991-11-10,1991,1,0,,Buffalo Bills,LOSS,24,34,HOME
1991-11-17,1991,1,0,,Minnesota Vikings,LOSS,21,35,HOME
1991-11-24,1991,1,0,,Indianapolis Colts,WIN,14,10,HOME
1991-12-01,1991,1,0,,Atlanta Falcons,LOSS,31,35,AWAY
1991-12-08,1991,1,0,,Chicago Bears,LOSS,13,27,AWAY
1991-12-15,1991,1,0,,Detroit Lions,LOSS,17,21,HOME
1991-12-21,1991,1,0,,Minnesota Vikings,WIN,27,7,AWAY
1992-09-06,1992,1,0,,Minnesota Vikings,LOSS,20,23,HOME
1992-09-13,1992,1,0,,Tampa Bay Buccaneers,LOSS,3,31,AWAY
1992-09-20,1992,1,0,,Cincinnati Bengals,WIN,24,23,HOME
1992-09-27,1992,1,0,,Pittsburgh Steelers,WIN,17,3,HOME
1992-10-04,1992,1,0,,Atlanta Falcons,LOSS,10,24,AWAY
1992-10-18,1992,1,0,,Cleveland Browns,LOSS,6,17,AWAY
1992-10-25,1992,1,0,,Chicago Bears,LOSS,10,30,HOME
1992-11-01,1992,1,0,,Detroit Lions,WIN,27,13,AWAY
1992-11-08,1992,1,0,,New York Giants,LOSS,7,27,AWAY
1992-11-15,1992,1,0,,Philadelphia Eagles,WIN,27,24,HOME
1992-11-22,1992,1,0,,Chicago Bears,WIN,17,3,AWAY
1992-11-29,1992,1,0,,Tampa Bay Buccaneers,WIN,19,14,HOME
1992-12-06,1992,1,0,,Detroit Lions,WIN,38,10,HOME
1992-12-13,1992,1,0,,Tennessee Titans,WIN,16,14,AWAY
1992-12-20,1992,1,0,,Los Angeles Rams,WIN,28,13,HOME
1992-12-27,1992,1,0,,Minnesota Vikings,LOSS,7,27,AWAY
1993-09-05,1993,1,0,,Los Angeles Rams,WIN,36,6,HOME
1993-09-12,1993,1,0,,Philadelphia Eagles,LOSS,17,20,HOME
1993-09-26,1993,1,0,,Minnesota Vikings,LOSS,13,15,AWAY
1993-10-03,1993,1,0,,Dallas Cowboys,LOSS,14,36,AWAY
1993-10-10,1993,1,0,,Denver Broncos,WIN,30,27,HOME
1993-10-24,1993,1,0,,Tampa Bay Buccaneers,WIN,37,14,AWAY
1993-10-31,1993,1,0,,Chicago Bears,WIN,17,3,HOME
1993-11-08,1993,1,0,,Kansas City Chiefs,LOSS,16,23,AWAY
1993-11-14,1993,1,0,,New Orleans Saints,WIN,19,17,AWAY
1993-11-21,1993,1,0,,Detroit Lions,WIN,26,17,HOME
1993-11-28,1993,1,0,,Tampa Bay Buccaneers,WIN,13,10,HOME
1993-12-05,1993,1,0,,Chicago Bears,LOSS,17,30,AWAY
1993-12-12,1993,1,0,,Los Angeles Chargers,WIN,20,13,AWAY
1993-12-19,1993,1,0,,Minnesota Vikings,LOSS,17,21,HOME
1993-12-26,1993,1,0,,Oakland Raiders,WIN,28,0,HOME
1994-01-02,1993,1,0,,Detroit Lions,LOSS,20,30,AWAY
1994-01-08,1993,0,1,,Detroit Lions,WIN,28,24,AWAY
1994-01-16,1993,0,1,,Dallas Cowboys,LOSS,17,27,AWAY
1994-09-04,1994,1,0,,Minnesota Vikings,WIN,16,10,HOME
1994-09-11,1994,1,0,,Miami Dolphins,LOSS,14,24,HOME
1994-09-18,1994,1,0,,Philadelphia Eagles,LOSS,7,13,AWAY
1994-09-25,1994,1,0,,Tampa Bay Buccaneers,WIN,30,3,HOME
1994-10-02,1994,1,0,,New England Patriots,LOSS,16,17,AWAY
1994-10-09,1994,1,0,,Los Angeles Rams,WIN,24,17,HOME
1994-10-20,1994,1,0,,Minnesota Vikings,LOSS,10,13,AWAY
1994-10-31,1994,1,0,,Chicago Bears,WIN,33,6,AWAY
1994-11-06,1994,1,0,,Detroit Lions,WIN,38,30,HOME
1994-11-13,1994,1,0,,New York Jets,WIN,17,10,HOME
1994-11-20,1994,1,0,,Buffalo Bills,LOSS,20,29,AWAY
1994-11-24,1994,1,0,,Dallas Cowboys,LOSS,31,42,AWAY
1994-12-04,1994,1,0,,Detroit Lions,LOSS,31,34,AWAY
1994-12-11,1994,1,0,,Chicago Bears,WIN,40,3,HOME
1994-12-18,1994,1,0,,Atlanta Falcons,WIN,21,17,HOME
1994-12-24,1994,1,0,,Tampa Bay Buccaneers,WIN,34,19,AWAY
1994-12-31,1994,0,1,,Detroit Lions,WIN,16,12,HOME
1995-01-08,1994,0,1,,Dallas Cowboys,LOSS,9,35,AWAY
1995-09-03,1995,1,0,,Los Angeles Rams,LOSS,14,17,HOME
1995-09-11,1995,1,0,,Chicago Bears,WIN,27,24,AWAY
1995-09-17,1995,1,0,,New York Giants,WIN,14,6,HOME
1995-09-24,1995,1,0,,Jacksonville Jaguars,WIN,24,14,AWAY
1995-10-08,1995,1,0,,Dallas Cowboys,LOSS,24,34,AWAY
1995-10-15,1995,1,0,,Detroit Lions,WIN,30,21,HOME
1995-10-22,1995,1,0,,Minnesota Vikings,WIN,38,21,HOME
1995-10-29,1995,1,0,,Detroit Lions,LOSS,16,24,AWAY
1995-11-05,1995,1,0,,Minnesota Vikings,LOSS,24,27,AWAY
1995-11-12,1995,1,0,,Chicago Bears,WIN,35,28,HOME
1995-11-19,1995,1,0,,Cleveland Browns,WIN,31,20,AWAY
1995-11-26,1995,1,0,,Tampa Bay Buccaneers,WIN,35,13,HOME
1995-12-03,1995,1,0,,Cincinnati Bengals,WIN,24,10,HOME
1995-12-10,1995,1,0,,Tampa Bay Buccaneers,LOSS,10,13,AWAY
1995-12-16,1995,1,0,,New Orleans Saints,WIN,34,23,AWAY
1995-12-24,1995,1,0,,Pittsburgh Steelers,WIN,24,19,HOME
1995-12-31,1995,0,1,,Atlanta Falcons,WIN,37,20,HOME
1996-01-06,1995,0,1,,San Francisco 49ers,WIN,27,17,AWAY
1996-01-14,1995,0,1,,Dallas Cowboys,LOSS,27,38,AWAY
1996-09-01,1996,1,0,,Tampa Bay Buccaneers,WIN,34,3,AWAY
1996-09-09,1996,1,0,,Philadelphia Eagles,WIN,39,13,HOME
1996-09-15,1996,1,0,,Los Angeles Chargers,WIN,42,10,HOME
1996-09-22,1996,1,0,,Minnesota Vikings,LOSS,21,30,AWAY
1996-09-29,1996,1,0,,Seattle Seahawks,WIN,31,10,AWAY
1996-10-06,1996,1,0,,Chicago Bears,WIN,37,6,AWAY
1996-10-14,1996,1,0,,San Francisco 49ers,WIN,23,20,HOME
1996-10-27,1996,1,0,,Tampa Bay Buccaneers,WIN,13,7,HOME
1996-11-03,1996,1,0,,Detroit Lions,WIN,28,18,HOME
1996-11-10,1996,1,0,,Kansas City Chiefs,LOSS,20,27,AWAY
1996-11-18,1996,1,0,,Dallas Cowboys,LOSS,6,21,AWAY
1996-11-24,1996,1,0,,Los Angeles Rams,WIN,24,9,AWAY
1996-12-01,1996,1,0,,Chicago Bears,WIN,28,17,HOME
1996-12-08,1996,1,0,,Denver Broncos,WIN,41,6,HOME
1996-12-15,1996,1,0,,Detroit Lions,WIN,31,3,AWAY
1996-12-22,1996,1,0,,Minnesota Vikings,WIN,38,10,HOME
1997-01-04,1996,0,1,,San Francisco 49ers,WIN,35,14,HOME
1997-01-12,1996,0,1,,Carolina Panthers,WIN,30,13,HOME
1997-01-26,1996,0,1,xxxi,New England Patriots,WIN,35,21,NEUTRAL
1997-09-01,1997,1,0,,Chicago Bears,WIN,38,24,HOME
1997-09-07,1997,1,0,,Philadelphia Eagles,LOSS,9,10,AWAY
1997-09-14,1997,1,0,,Miami Dolphins,WIN,23,18,HOME
1997-09-21,1997,1,0,,Minnesota Vikings,WIN,38,32,HOME
1997-09-28,1997,1,0,,Detroit Lions,LOSS,15,26,AWAY
1997-10-05,1997,1,0,,Tampa Bay Buccaneers,WIN,21,16,HOME
1997-10-12,1997,1,0,,Chicago Bears,WIN,24,23,AWAY
1997-10-27,1997,1,0,,New England Patriots,WIN,28,10,AWAY
1997-11-02,1997,1,0,,Detroit Lions,WIN,20,10,HOME
1997-11-09,1997,1,0,,Los Angeles Rams,WIN,17,7,HOME
1997-11-16,1997,1,0,,Indianapolis Colts,LOSS,38,41,AWAY
1997-11-23,1997,1,0,,Dallas Cowboys,WIN,45,17,HOME
1997-12-01,1997,1,0,,Minnesota Vikings,WIN,27,11,AWAY
1997-12-07,1997,1,0,,Tampa Bay Buccaneers,WIN,17,6,AWAY
1997-12-14,1997,1,0,,Carolina Panthers,WIN,31,10,AWAY
1997-12-20,1997,1,0,,Buffalo Bills,WIN,31,21,HOME
1998-01-04,1997,0,1,,Tampa Bay Buccaneers,WIN,21,7,HOME
1998-01-11,1997,0,1,,San Francisco 49ers,WIN,23,10,AWAY
1998-01-25,1997,0,1,xxxii,Denver Broncos,LOSS,24,31,HOME
1998-09-06,1998,1,0,,Detroit Lions,WIN,38,19,HOME
1998-09-13,1998,1,0,,Tampa Bay Buccaneers,WIN,23,15,HOME
1998-09-20,1998,1,0,,Cincinnati Bengals,WIN,13,6,AWAY
1998-09-27,1998,1,0,,Carolina Panthers,WIN,37,30,AWAY
1998-10-05,1998,1,0,,Minnesota Vikings,LOSS,24,37,HOME
1998-10-15,1998,1,0,,Detroit Lions,LOSS,20,27,AWAY
1998-10-25,1998,1,0,,Baltimore Ravens,WIN,28,10,HOME
1998-11-01,1998,1,0,,San Francisco 49ers,WIN,36,22,HOME
1998-11-09,1998,1,0,,Pittsburgh Steelers,LOSS,20,27,AWAY
1998-11-15,1998,1,0,,New York Giants,WIN,37,3,AWAY
1998-11-22,1998,1,0,,Minnesota Vikings,LOSS,14,28,AWAY
1998-11-29,1998,1,0,,Philadelphia Eagles,WIN,24,16,HOME
1998-12-07,1998,1,0,,Tampa Bay Buccaneers,LOSS,22,24,AWAY
1998-12-13,1998,1,0,,Chicago Bears,WIN,26,20,HOME
1998-12-20,1998,1,0,,Tennessee Titans,WIN,30,22,HOME
1998-12-27,1998,1,0,,Chicago Bears,WIN,16,13,AWAY
1999-01-03,1998,0,1,,San Francisco 49ers,LOSS,27,30,AWAY
1999-09-12,1999,1,0,,Oakland Raiders,WIN,28,24,HOME
1999-09-19,1999,1,0,,Detroit Lions,LOSS,15,23,AWAY
1999-09-26,1999,1,0,,Minnesota Vikings,WIN,23,20,HOME
1999-10-10,1999,1,0,,Tampa Bay Buccaneers,WIN,26,23,HOME
1999-10-17,1999,1,0,,Denver Broncos,LOSS,10,31,AWAY
1999-10-24,1999,1,0,,San Diego Chargers,WIN,31,3,AWAY
1999-11-01,1999,1,0,,Seattle Seahawks,LOSS,7,27,HOME
1999-11-07,1999,1,0,,Chicago Bears,LOSS,13,14,HOME
1999-11-14,1999,1,0,,Dallas Cowboys,LOSS,13,27,AWAY
1999-11-21,1999,1,0,,Detroit Lions,WIN,26,17,HOME
1999-11-29,1999,1,0,,San Francisco 49ers,WIN,20,3,AWAY
1999-12-05,1999,1,0,,Chicago Bears,WIN,35,19,AWAY
1999-12-12,1999,1,0,,Carolina Panthers,LOSS,31,33,HOME
1999-12-20,1999,1,0,,Minnesota Vikings,LOSS,20,24,AWAY
1999-12-26,1999,1,0,,Tampa Bay Buccaneers,LOSS,10,29,AWAY
2000-01-02,1999,1,0,,Arizona Cardinals,WIN,49,24,HOME
2000-09-03,2000,1,0,,New York Jets,LOSS,16,20,HOME
2000-09-10,2000,1,0,,Buffalo Bills,LOSS,18,27,AWAY
2000-09-17,2000,1,0,,Philadelphia Eagles,WIN,6,3,HOME
2000-09-24,2000,1,0,,Arizona Cardinals,WIN,29,3,AWAY
2000-10-01,2000,1,0,,Chicago Bears,LOSS,24,27,HOME
2000-10-08,2000,1,0,,Detroit Lions,LOSS,24,31,AWAY
2000-10-15,2000,1,0,,San Francisco 49ers,WIN,31,28,HOME
2000-10-29,2000,1,0,,Miami Dolphins,LOSS,20,28,AWAY
2000-11-06,2000,1,0,,Minnesota Vikings,WIN,26,20,HOME
2000-11-12,2000,1,0,,Tampa Bay Buccaneers,LOSS,15,20,AWAY
2000-11-19,2000,1,0,,Indianapolis Colts,WIN,26,24,HOME
2000-11-27,2000,1,0,,Carolina Panthers,LOSS,14,31,AWAY
2000-12-03,2000,1,0,,Chicago Bears,WIN,28,6,AWAY
2000-12-10,2000,1,0,,Detroit Lions,WIN,26,13,HOME
2000-12-17,2000,1,0,,Minnesota Vikings,WIN,33,28,AWAY
2000-12-24,2000,1,0,,Tampa Bay Buccaneers,WIN,17,14,HOME
2001-09-09,2001,1,0,,Detroit Lions,WIN,28,6,HOME
2001-09-24,2001,1,0,,Washington Commanders,WIN,37,0,HOME
2001-09-30,2001,1,0,,Carolina Panthers,WIN,28,7,AWAY
2001-10-07,2001,1,0,,Tampa Bay Buccaneers,LOSS,10,14,AWAY
2001-10-14,2001,1,0,,Baltimore Ravens,WIN,31,23,HOME
2001-10-21,2001,1,0,,Minnesota Vikings,LOSS,13,35,AWAY
2001-11-04,2001,1,0,,Tampa Bay Buccaneers,WIN,21,20,HOME
2001-11-11,2001,1,0,,Chicago Bears,WIN,20,12,AWAY
2001-11-18,2001,1,0,,Atlanta Falcons,LOSS,20,23,HOME
2001-11-22,2001,1,0,,Detroit Lions,WIN,29,27,AWAY
2001-12-03,2001,1,0,,Jacksonville Jaguars,WIN,28,21,AWAY
2001-12-09,2001,1,0,,Chicago Bears,WIN,17,7,HOME
2001-12-16,2001,1,0,,Tennessee Titans,LOSS,20,26,AWAY
2001-12-23,2001,1,0,,Cleveland Browns,WIN,30,7,HOME
2001-12-30,2001,1,0,,Minnesota Vikings,WIN,24,13,HOME
2002-01-06,2001,1,0,,New York Giants,WIN,34,25,AWAY
2002-01-13,2001,0,1,,San Francisco 49ers,WIN,25,15,HOME
2002-01-20,2001,0,1,,St. Louis Rams,LOSS,17,45,AWAY
2002-09-08,2002,1,0,,Atlanta Falcons,WIN,37,34,HOME
2002-09-15,2002,1,0,,New Orleans Saints,LOSS,20,35,AWAY
2002-09-22,2002,1,0,,Detroit Lions,WIN,37,31,AWAY
2002-09-29,2002,1,0,,Carolina Panthers,WIN,17,14,HOME
2002-10-07,2002,1,0,,Chicago Bears,WIN,34,21,AWAY
