date,season,regular_season,playoff,superbowl,Opponent,Packers Win,packers_score,opponent_score,location
1949-10-16,1949,1,0,,Arizona Cardinals,LOSS,17,39,HOME
1949-10-23,1949,1,0,,Los Angeles Rams,LOSS,7,35,AWAY
1949-10-30,1949,1,0,,Detroit Lions,WIN,16,14,HOME
1949-11-06,1949,1,0,,Chicago Bears,LOSS,3,24,AWAY
1949-11-13,1949,1,0,,New York Giants,LOSS,10,30,HOME
1949-11-20,1949,1,0,,Pittsburgh Steelers,LOSS,7,30,HOME
1949-11-27,1949,1,0,,Arizona Cardinals,LOSS,21,41,AWAY
1949-12-04,1949,1,0,,Washington Commanders,LOSS,0,30,AWAY
1949-12-11,1949,1,0,,Detroit Lions,LOSS,7,21,AWAY
1950-09-17,1950,1,0,,Detroit Lions,LOSS,7,45,HOME
1950-09-24,1950,1,0,,Washington Commanders,WIN,35,21,HOME
1950-10-01,1950,1,0,,Chicago Bears,WIN,31,21,HOME
1950-10-08,1950,1,0,,Dallas Texans,LOSS,31,44,HOME
1950-10-15,1950,1,0,,Chicago Bears,LOSS,14,28,AWAY
1950-10-19,1950,1,0,,Dallas Texans,LOSS,17,35,AWAY
1950-11-05,1950,1,0,,Baltimore Colts,LOSS,21,41,AWAY
1950-11-12,1950,1,0,,Los Angeles Rams,LOSS,14,45,HOME
1950-11-19,1950,1,0,,Detroit Lions,LOSS,21,24,AWAY
1950-11-26,1950,1,0,,San Francisco 49ers,WIN,25,21,HOME
1950-12-03,1950,1,0,,Los Angeles Rams,LOSS,14,51,AWAY
1950-12-10,1950,1,0,,San Francisco 49ers,LOSS,14,30,AWAY
1951-09-30,1951,1,0,,Chicago Bears,LOSS,20,31,HOME
1951-10-07,1951,1,0,,Pittsburgh Steelers,WIN,35,33,HOME
1951-10-14,1951,1,0,,Philadelphia Eagles,WIN,37,24,HOME
1951-10-21,1951,1,0,,Los Angeles Rams,LOSS,0,28,HOME
1951-10-28,1951,1,0,,Dallas Texans,WIN,29,27,AWAY
1951-11-04,1951,1,0,,Detroit Lions,LOSS,17,24,HOME
1951-11-11,1951,1,0,,Pittsburgh Steelers,LOSS,7,28,AWAY
1951-11-18,1951,1,0,,Chicago Bears,LOSS,13,24,AWAY
1951-11-22,1951,1,0,,Detroit Lions,LOSS,35,52,AWAY
1951-12-02,1951,1,0,,Dallas Texans,LOSS,28,31,HOME
1951-12-09,1951,1,0,,San Francisco 49ers,LOSS,19,31,AWAY
1951-12-16,1951,1,0,,Los Angeles Rams,LOSS,14,42,AWAY
1952-09-28,1952,1,0,,Chicago Bears,LOSS,14,24,HOME
1952-10-05,1952,1,0,,Washington Commanders,WIN,35,20,HOME
1952-10-12,1952,1,0,,Los Angeles Rams,LOSS,28,30,HOME
1952-10-18,1952,1,0,,Dallas Texans,WIN,24,14,AWAY
1952-10-26,1952,1,0,,Detroit Lions,LOSS,17,52,HOME
1952-11-02,1952,1,0,,Philadelphia Eagles,WIN,12,10,HOME
1952-11-09,1952,1,0,,Chicago Bears,WIN,41,28,AWAY
1952-11-16,1952,1,0,,New York Giants,WIN,17,3,AWAY
1952-11-23,1952,1,0,,Dallas Texans,WIN,42,14,HOME
1952-11-27,1952,1,0,,Detroit Lions,LOSS,24,48,AWAY
1952-12-07,1952,1,0,,Los Angeles Rams,LOSS,27,45,AWAY
1952-12-14,1952,1,0,,San Francisco 49ers,LOSS,14,24,AWAY
